Disease,Fever,Heart Rate,Breath Rate,Blood Pressure,Symptoms,Type,Incubation Time (days),Period of Illness (days),Duration,Infectious
Snorglesniff,yes,faster,slower,normal,"sleepy, shortness of breath, diarrhea",Degenerative,2,13,Chronic,yes
Coughadoodle,yes,normal,slower,low,"fatigue, shortness of breath, sleepy, diarrhea, muscle aches, coughing",Endocrine,13,13,Chronic,yes
Fumbleitis,yes,faster,normal,normal,"fatigue, muscle aches, diarrhea, shortness of breath, coughing, sleepy",Neoplastic,1,18,Chronic,no
Giggleflux,yes,normal,slower,normal,"muscle aches, diarrhea",Idiopathic,9,21,Acute,no
Sneezequake,yes,faster,slower,low,"muscle aches, sleepy, diarrhea, shortness of breath, coughing",Degenerative,10,13,Chronic,no
Toe Tangle,yes,slower,faster,high,"fatigue, diarrhea",Neoplastic,1,21,Acute,yes
Elbow Wiggle Syndrome,no,normal,slower,low,"shortness of breath, coughing",Congenital,2,2,Acute,yes
Brain Freeze Disorder,yes,slower,faster,low,"sleepy, muscle aches, fatigue, coughing, diarrhea, shortness of breath",Inherited,14,6,Chronic,yes
Blabber Mouth,yes,slower,normal,low,"diarrhea, muscle aches",Degenerative,1,18,Acute,no
Wiggleworm Fever,yes,faster,slower,normal,"coughing, shortness of breath",Endocrine,11,12,Acute,yes
Itchy Nose Syndrome,no,slower,faster,low,"coughing, shortness of breath, sleepy, muscle aches, fatigue, diarrhea",Degenerative,1,5,Acute,yes
Smirk Spasm,no,normal,faster,high,"sleepy, shortness of breath",Neoplastic,5,14,Acute,yes
Jelly Legs,yes,normal,slower,low,"diarrhea, fatigue, shortness of breath, sleepy",Inherited,5,3,Chronic,no
Pickle Pox,yes,faster,slower,normal,"shortness of breath, muscle aches, fatigue, sleepy, coughing",Degenerative,9,1,Acute,yes
Hiccuphobia,yes,normal,slower,high,"shortness of breath, coughing, sleepy, muscle aches",Neoplastic,8,7,Chronic,no
Belly Button Bounce,yes,normal,slower,low,"diarrhea, fatigue, muscle aches, coughing, sleepy",Neoplastic,1,6,Acute,no
Eye Twitch Fever,yes,normal,faster,low,"fatigue, shortness of breath",Inherited,6,16,Chronic,no
Snore-a-palooza,no,normal,slower,low,"fatigue, diarrhea, shortness of breath, muscle aches, coughing",Inherited,13,3,Acute,yes
Stumblebum Syndrome,yes,faster,normal,normal,"muscle aches, sleepy, diarrhea",Endocrine,3,6,Acute,yes
Gigglicious,no,normal,slower,normal,"fatigue, diarrhea, shortness of breath",Idiopathic,13,7,Chronic,no
Chewbug Syndrome,no,faster,faster,high,coughing,Idiopathic,14,6,Chronic,no
Earwax Overflow,yes,slower,normal,normal,"shortness of breath, sleepy, fatigue, diarrhea, muscle aches",Degenerative,9,12,Acute,no
Laughter Laryngitis,no,slower,faster,normal,"coughing, fatigue, shortness of breath, sleepy, muscle aches",Inherited,10,15,Acute,no
Hair Frizzitis,yes,slower,faster,normal,"sleepy, diarrhea, shortness of breath, fatigue, coughing, muscle aches",Endocrine,12,18,Acute,yes
Lip Quiver Flu,no,normal,faster,normal,"diarrhea, fatigue",Congenital,2,13,Acute,no
