Name,Type,Days of Treatment,Dosage,Treatment
Pharmaumiotrol,painkiller,7,6.8,Endocrine
Meddomonex,antibiotic,16,6.6,Nutritional deficiency
Neoondisaki,antiseptic,7,5.7,Neoplastic
Neonixmono,stabilizer,15,2.7,Endocrine
Medtylyaku,stimulant,11,4.3,Degenerative
Pharmaclamzine,stabilizer,19,4.3,Endocrine
Neodomoyaku,antibiotic,1,6.9,Idiopathic
Pharmatylmono,stimulant,7,6.4,Idiopathic
Theronditrol,antibiotic,17,0.6,Inherited
Pharmacriszine,statin,7,0.8,Idiopathic
Therdomosaki,stimulant,15,7.5,Congenital
Medtylzine,statin,8,8.1,Nutritional deficiency
Neocrisyaku,stimulant,13,1.3,Inherited
Vitahulyaku,stimulant,12,5.1,Endocrine
Vitaondisaki,painkiller,16,5.6,Idiopathic
Pharmanixyaku,statin,9,3.7,Endocrine
Neohulzine,statin,13,8.2,Congenital
Therdomomono,stabilizer,21,4.5,Degenerative
Theryamzine,statin,6,5.8,Congenital
Pharmahulzine,stimulant,9,8.3,Neoplastic
Vitatyltrol,stimulant,5,0.9,Neoplastic
Vitavriyaku,stimulant,18,8.1,Idiopathic
Thercrisyaku,antiseptic,13,7.5,Nutritional deficiency
Medilexzine,painkiller,20,6.9,Inherited
Pharmaclamyaku,antibiotic,20,8.3,Congenital
Pharmavriyaku,statin,14,6.5,Congenital
Pharmahulnex,painkiller,1,3.4,Degenerative
Neofentrayaku,painkiller,14,1.1,Inherited
Therondiyaku,stabilizer,1,0.7,Inherited
Medumiomono,stimulant,2,2.9,Congenital
Therfentrayaku,stimulant,21,3.2,Degenerative
Neodomotrol,antiseptic,21,6.1,Endocrine
Therdomonex,antibiotic,1,5.5,Neoplastic
Vitacrisnex,stabilizer,4,8.1,Inherited
Neoumiotrol,stabilizer,4,7.9,Endocrine
Neoondinex,tranquilizer,19,5.9,Degenerative
Vitaumiomono,tranquilizer,7,4.2,Inherited
Medonditrol,painkiller,5,7.9,Endocrine
Pharmatyltrol,painkiller,9,0.8,Inherited
Vitavrinex,antipyretics,8,5.1,Idiopathic
Therfentranex,painkiller,14,9.6,Degenerative
Medyammono,stimulant,1,5.9,Neoplastic
Neoondizine,stabilizer,17,5.6,Endocrine
Medilextrol,antipyretics,1,6.6,Endocrine
Thertylmono,stimulant,6,8.6,Inherited
Neovriyaku,painkiller,16,6.6,Endocrine
Vitaumiosaki,antipyretics,4,3.5,Idiopathic
Pharmailexyaku,painkiller,4,5.9,Congenital
Vitaondizine,tranquilizer,19,7.1,Degenerative
Therhulyaku,antipyretics,12,0.8,Inherited
Neoclamsaki,tranquilizer,17,5.5,Endocrine
Pharmafentramono,tranquilizer,18,8.5,Congenital
Vitailexnex,tranquilizer,4,2.8,Idiopathic
Medyamzine,stimulant,19,1.2,Endocrine
Therdomotrol,antibiotic,3,1.4,Nutritional deficiency
Therilexzine,statin,14,2.1,Endocrine
Neonixsaki,stabilizer,12,3.0,Idiopathic
Neofentrasaki,stimulant,15,9.4,Degenerative
Vitavrisaki,statin,4,9.7,Degenerative
Medumionex,stimulant,10,3.4,Idiopathic
Neoilexmono,antipyretics,16,9.9,Congenital
Neoumiomono,tranquilizer,6,4.9,Endocrine
Vitavrimono,tranquilizer,13,2.0,Neoplastic
Neonixzine,stimulant,3,4.3,Nutritional deficiency
Pharmaumioyaku,painkiller,18,3.9,Inherited
Vitafentranex,stimulant,21,5.2,Inherited
Vitanixyaku,painkiller,15,10.0,Endocrine
Thernixtrol,antibiotic,5,4.0,Neoplastic
Pharmadomozine,statin,14,3.4,Idiopathic
Medondiyaku,antipyretics,4,9.4,Inherited
Pharmayamsaki,tranquilizer,20,4.5,Nutritional deficiency
Vitaclamnex,antipyretics,19,5.8,Neoplastic
Pharmacrismono,stabilizer,2,8.6,Degenerative
Pharmadomomono,stabilizer,16,7.3,Neoplastic
Vitaclamyaku,stimulant,19,5.4,Degenerative
Thervrizine,painkiller,15,7.3,Inherited
Vitanixtrol,stabilizer,14,5.0,Inherited
Vitayamyaku,antiseptic,4,9.6,Idiopathic
Thervrisaki,stabilizer,5,4.3,Neoplastic
Vitaumiotrol,antibiotic,20,9.1,Endocrine
Theryamnex,stimulant,18,3.0,Idiopathic
Vitanixsaki,statin,7,3.6,Nutritional deficiency
Pharmanixsaki,antipyretics,12,4.5,Degenerative
Medhultrol,stabilizer,13,4.7,Inherited
Neodomosaki,statin,14,6.9,Congenital
Therumioyaku,statin,20,7.1,Inherited
Meddomoyaku,stimulant,5,5.3,Nutritional deficiency
Pharmailexnex,antipyretics,19,4.5,Neoplastic
Neoyamyaku,tranquilizer,16,7.4,Idiopathic
Medhulmono,antibiotic,19,4.5,Idiopathic
Medondinex,statin,21,4.5,Congenital
Pharmacristrol,stimulant,15,9.7,Endocrine
Theryamsaki,antipyretics,4,2.4,Nutritional deficiency
Mednixmono,antiseptic,5,4.7,Endocrine
Neonixnex,tranquilizer,17,4.1,Idiopathic
Therclamtrol,stabilizer,7,1.5,Idiopathic
Pharmayammono,statin,20,2.5,Endocrine
Neoclamzine,painkiller,16,1.1,Idiopathic
Vitayamsaki,painkiller,12,9.1,Congenital
Neodomozine,antipyretics,2,9.0,Congenital
